,Unnamed: 0.1,Unnamed: 0,Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
10,10,11,12,11.0,59,10,Adastra,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),HPE,France,2022,Academic,319072,"297,440",46100.0,61607.94,"4,492,800",,562.01,921.48,Submitted,50.03,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000.0,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"50,203",180051
11,11,12,13,12.0,56,7,JUWELS Booster Module,"Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),Atos,Germany,2020,Research,449280,"404,352",44120.0,70980.0,"4,315,584",,"1,275.36",1764.22,Submitted,25.01,,Cluster,AMD EPYC 7402 24C 2.8GHz,AMD Zen-2 (Rome),2800.0,CentOS,Linux,NVIDIA A100,24,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"47,871",179894
12,12,14,15,13.0,55,6,HPC5,"PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband",Eni S.p.A.,DELL EMC,Italy,2020,Industry,669760,"582,400",35450.0,51720.76,"5,750,784",,860.32,2252.17,Submitted,15.74,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,2100.0,CentOS Linux 7,Linux,NVIDIA Tesla V100,24,Xeon Gold 62xx (Cascade Lake),PowerEdge C4140,Dell PowerEdge Cluster,Infiniband,Mellanox HDR Infiniband,Europe,"50,489",179856
13,13,16,17,15.0,60,15,Setonix – GPU,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11","Pawsey Supercomputing Centre, Kensington, Western Australia",HPE,Australia,2022,Research,181248,"168,960",27160.0,34996.22,"3,538,944",,311.91,476.63,Submitted,56.98,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000.0,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Oceania,"50,488",180123
14,14,17,18,16.0,60,16,Discovery 5,"HPE Cray EX235n, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11",ExxonMobil,HPE,United States,2022,Industry,232000,"216,000",26130.0,30990.8,"3,136,100",,,964.0,Submitted,27.11,,MPP,AMD  EPYC 7543 32C 2.8GHz,AMD Zen-3 (Milan),2800.0,HPE Cray OS,Linux,NVIDIA A100 SXM4 40 GB,32,AMD Zen-3 (Milan),HPE Cray EX 235n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"50,949",180131
15,15,21,22,20.0,58,14,CEA-HF,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2",Commissariat a l'Energie Atomique (CEA),Atos,France,2021,Research,810240,,23237.6,31761.4,"12,153,600",,340.84,4959.47,Submitted,4.69,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450.0,Linux,Linux,None,64,AMD Zen-3 (Milan),BullSequana XH2000,BullSequana,Custom Interconnect,Atos BXI V2,Europe,"47,593",180031
16,16,23,24,22.0,57,12,ABCI 2.0,"PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",National Institute of Advanced Industrial Science and Technology (AIST),Fujitsu,Japan,2021,Research,504000,"451,840",22208.72,54340.99,"3,435,000",,,1600.32,Submitted,13.88,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400.0,Linux,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold (Skylake),PRIMERGY GX2570 M6,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Asia,"50,762",179954
17,17,24,25,23.0,57,13,Wisteria/BDEC-01 (Odyssey),"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2021,Academic,368640,,22121.0,25952.26,"4,853,760",,817.58,1468.0,Submitted,15.07,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,2200.0,Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,"50,096",179962
18,18,25,26,24.0,55,9,Marconi-100,"IBM Power System AC922, IBM POWER9 16C 3GHz, Nvidia Volta V100, Dual-rail Mellanox EDR Infiniband",CINECA,IBM,Italy,2019,Academic,347776,"316,160",21640.0,29354.0,"2,722,137",,498.43,1476.0,Submitted,14.66,,Cluster,IBM POWER9 16C 3GHz,Power,3000.0,RHEL 7.6,Linux,Nvidia Volta V100,16,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,"47,495",179845
19,19,27,28,26.0,40,114,Piz Daint,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",Swiss National Supercomputing Centre (CSCS),HPE,Switzerland,2017,Research,387872,"319,424",21230.0,27154.3,"3,743,232",,496.98,2384.24,Submitted,8.9,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600.0,Cray Linux Environment ,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Haswell),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"50,422",177824
20,20,28,29,27.0,46,6,Trinity,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",DOE/NNSA/LANL/SNL,HPE,United States,2017,Research,979072,,20158.7,41461.15,"12,353,536",,546.12,7578.1,Submitted,2.66,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400.0,Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,"50,334",178610
21,21,31,32,30.0,56,16,Hawk,"Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",HLRS - Höchstleistungsrechenzentrum Stuttgart,HPE,Germany,2020,Research,698880,,19334.0,25159.68,"9,984,000",,334.65,3905.83,Submitted,4.95,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250.0,Tri-Lab Operating System ,Linux,None,64,AMD Zen-2 (Rome),Apollo 9000,HPE Apollo,Infiniband,Mellanox HDR Infiniband,Europe,"50,543",179880
22,22,33,34,32.0,59,29,Frontier TDS,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",DOE/SC/Oak Ridge National Laboratory,HPE,United States,2021,Research,120832,"112,640",19200.0,23105.54,"2,875,392",,,308.68,Submitted,62.2,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000.0,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"48,553",180053
23,23,34,35,33.0,60,33,Pégaso,"Supermicro A+ Server 4124GO-NART+, AMD EPYC 7513 32C 2.6GHz, NVIDIA A100, Infiniband HDR",Petróleo Brasileiro S.A,Atos,Brazil,2022,Industry,233856,"217,728",19070.0,41995.7,"4,428,288",,,1033.0,Submitted,18.46,,Cluster,AMD EPYC 7513 32C 2.6GHz,AMD Zen-3 (Milan),2600.0,CentOS,Linux,NVIDIA A100,32,AMD Zen-3 (Milan),Supermicro A+ Server 4124GO-NART+,Supermicro Cluster,Infiniband,Infiniband HDR,South America,"49,587",180127
24,24,36,37,35.0,57,24,Guru,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",Korea Meteorological Administration,Lenovo,South Korea,2021,Government,306432,,18002.8,25495.14,"8,239,104",,,3296.0,Submitted,5.46,,Cluster,Xeon Platinum 8368Q 38C 2.6GHz,Intel Ice Lake,2600.0,Linux,Linux,None,38,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Asia,"50,890",179912
25,25,37,38,36.0,58,28,Maru,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",Korea Meteorological Administration,Lenovo,South Korea,2021,Government,306432,,18002.8,25495.14,"8,239,104",,,3296.0,Submitted,5.46,,Cluster,Xeon Platinum 8368Q 38C 2.6GHz,Intel Ice Lake,2600.0,Linux,Linux,None,38,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650-N V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Asia,"50,890",180023
26,26,38,39,37.0,53,11,PANGEA III,"IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100",Total Exploration Production,IBM,France,2019,Industry,291024,"270,720",17860.0,25025.81,"5,760,000",,,1367.0,Submitted,13.07,,Cluster,IBM POWER9 18C 3.45GHz,Power,3450.0,RHEL 7.6,Linux,NVIDIA Volta GV100,18,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,"49,546",179689
27,27,39,40,38.0,57,22,HiPerGator AI,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",University of Florida,Nvidia,United States,2021,Academic,138880,"120,960",17200.0,21314.72,"3,450,528",,424.43,582.63,Submitted,29.52,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250.0,Ubuntu 20.04.2 LTS,Linux,NVIDIA A100,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,North America,"49,751",179940
28,28,47,48,45.0,48,5,Cori,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,HPE,United States,2016,Research,622336,,14014.7,27880.65,"6,984,960",,355.44,3939.0,Submitted,3.56,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400.0,Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,"48,429",178924
29,29,49,50,,61,50,,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Japan Meteorological Agency,Fujitsu,Japan,2022,Research,221184,,13367.0,15571.35,"3,809,280",,461.31,904.72,Submitted,14.77,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,2200.0,Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,"48,169",180168
30,30,50,51,,61,51,,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Japan Meteorological Agency,Fujitsu,Japan,2022,Research,221184,,13367.0,15571.35,"3,809,280",,461.31,904.72,Submitted,14.77,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,2200.0,Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,"48,169",180169
31,31,52,53,48.0,51,13,HPC4,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",Eni S.p.A.,HPE,Italy,2018,Industry,253600,"177,520",12210.0,18621.14,"5,947,392",,271.87,1320.0,Submitted,9.25,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100.0,RHEL 7.4,Linux,NVIDIA Tesla P100,24,Xeon Platinum (Skylake),Proliant DL380 Gen10,HP Cluster Platform 3000,Infiniband,Mellanox InfiniBand EDR,Europe,"50,489",179444
32,32,53,54,49.0,51,14,Tera-1000-2,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",Commissariat a l'Energie Atomique (CEA),Atos,France,2017,Research,561408,,11965.5,23396.35,"10,321,920",,333.76,3178.0,Submitted,3.77,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400.0,bullx SCS,Linux,None,68,Intel Xeon Phi,BullSequana X1000,BullSequana,Custom Interconnect,Bull BXI 1.2,Europe,"47,593",179412
33,33,56,57,52.0,57,36,MeluXina - Accelerator Module,"BullSequana XH2000, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",LuxProvide,Atos,Luxembourg,2021,Research,99200,"86,400",10520.0,15288.0,"2,040,192",,280.03,390.25,Submitted,26.96,,Cluster,AMD EPYC 7452 32C 2.35GHz,AMD Zen-2 (Rome),2350.0,RHEL compatible,Linux,NVIDIA Tesla A100 40G,32,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"50,882",179932
34,34,62,63,56.0,57,39,Earth Simulator -SX-Aurora TSUBASA,"SX-Aurora TSUBASA B401-8, Vector Engine Type20B 8C 1.6GHz, Infiniband HDR200",Japan Agency for Marine-Earth Science and Technology,NEC,Japan,2021,Research,43776,,9990.7,13447.99,"5,571,072",,747.80,1390.95,Submitted,7.18,,Cluster,Vector Engine Type20B 8C 1.6GHz,NEC Vector Engine,1600.0,VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA B401-8,SX-Aurora TSUBASA,Infiniband,Infiniband HDR200,Asia,"49,318",179927
35,35,67,68,61.0,57,43,JURECA Data Centric Module,"BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),Atos,Germany,2021,Research,105840,"81,648",9330.0,14508.0,"1,928,448",,273.78,384.1,Submitted,24.29,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250.0,CentOS,Linux,NVIDIA Tesla A100 40G,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"47,871",179947
36,36,69,70,,61,70,Goethe-NHR,"Supermicro AS-4124GS-TNR, AMD EPYC 7452 32C 2.35GHz, AMD Instinct MI210 64 GB, Mellanox InfiniBand EDR",Universitaet Frankfurt,MEGWARE / Supermicro,Germany,2023,Academic,96768,"89,856",9087.0,19344.19,"2,620,800","1,497,600",,195.24,Submitted,46.54,,Cluster,AMD EPYC 7452 32C 2.35GHz,AMD Zen-2 (Rome),2350.0,Linux,Linux,AMD Instinct MI210 64 GB,32,AMD Zen-2 (Rome),Supermicro AS-4124GS-TNR,Supermicro SuperServer,Infiniband,Mellanox InfiniBand EDR,Europe,"49,083",180175
37,37,70,71,63.0,57,72,Aitken,"HPE Apollo 9000/HPE SGI 8600, AMD EPYC 7742 64C 2.25GHz/Intel Xeon Gold 6248 20C 2.5GHz, Mellanox EDR/HDR Infiniband",NASA/Ames Research Center/NAS,HPE,United States,2022,Research,293936,,9070.0,12493.06,"8,229,600",,172.38,2010.1,Submitted,4.51,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250.0,Tri-Lab Operating System ,Linux,None,64,AMD Zen-2 (Rome),Apollo 9000,HPE Apollo,Infiniband,Mellanox HDR Infiniband,North America,"48,408",179959
38,38,71,72,64.0,52,20,Taiwania 2,"QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",National Center for High Performance Computing,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2018,Research,170352,"161,280",9000.0,15208.23,"2,862,720",,,797.54,Submitted,11.28,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,3000.0,CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold (Skylake),QCT QuantaGrid D52G-4U/LC,QCT QuantaGrid,Infiniband,Mellanox InfiniBand EDR,Asia,"48,468",179590
39,39,72,73,65.0,57,46,Dragão,"Supermicro SYS-4029GP-TVRT, Xeon Gold 6230R 26C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR",Petróleo Brasileiro S.A,Atos,Brazil,2021,Industry,188224,"174,080",8983.0,14006.48,"2,913,408",,,943.12,Submitted,9.52,,Cluster,Xeon Gold 6230R 26C 2.1GHz,Intel Cascade lake,2100.0,CentOS Linux 7,Linux,NVIDIA Tesla V100,26,Xeon Gold 62xx (Cascade Lake),Supermicro SYS-4029GP-TVRT,Supermicro Cluster,Infiniband,Infiniband EDR,South America,"49,587",179941
40,40,73,74,66.0,57,47,Raven-GPU,"ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Mellanox HDR Infiniband",Max-Planck-Gesellschaft MPI/IPP,Lenovo,Germany,2021,Research,96768,"82,944",8620.0,16031.54,"1,959,552",,,377.0,Submitted,22.86,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,2400.0,SUSE Linux Enterprise Server 15 SP2,Linux,NVIDIA A100,36,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650-N V2,Lenovo ThinkSystem,Infiniband,Mellanox HDR Infiniband,Europe,"48,331",179933
41,41,75,76,67.0,54,24,AiMOS,"IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",Rensselaer Polytechnic Institute Center for Computational Innovations (CCI),IBM,United States,2019,Academic,130000,"120,000",8339.0,11032.03,"3,809,280",,,512.08,Submitted,16.28,,Cluster,IBM POWER9 20C 3.45GHz,Power,3450.0,RHEL 7.6,Linux,NVIDIA Volta GV100,20,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,"50,823",179781
42,42,76,77,68.0,60,68,Dardel GPU,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",KTH - Royal Institute of Technology,HPE,Sweden,2022,Academic,52864,"49,280",8259.0,10207.23,"1,911,168",,94.07,146.2,Submitted,56.49,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000.0,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"48,188",180126
43,43,77,78,69.0,56,30,Taranis,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100",Meteo France,Atos,France,2020,Research,294912,,8191.03,10321.92,"7,741,440",,,1672.0,Submitted,4.9,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250.0,bullx SCS,Linux,None,64,AMD Zen-2 (Rome),BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"48,356",179892
44,44,78,79,70.0,60,70,LANTA,"HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100 40GB, Slingshot-11",NSTDA Supercomputer Center (ThaiSC),HPE,Thailand,2022,Research,87296,"76,032",8146.0,13773.06,"1,891,488",,,310.46,Submitted,26.24,,MPP,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),2000.0,HPE Cray OS,Linux,NVIDIA Tesla A100 40G,64,AMD Zen-3 (Milan),HPE Cray EX 235n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Asia,"50,937",180125
45,45,79,80,71.0,49,62,TSUBAME3.0,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2","GSIC Center, Tokyo Institute of Technology",HPE,Japan,2017,Academic,135828,"120,736",8125.0,12127.07,"2,126,208",,188.62,792.08,Submitted,10.26,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400.0,SUSE Linux Enterprise Server 12 SP1,Linux,NVIDIA Tesla P100 NVLink,14,Intel Xeon E5 (Broadwell),"SGI ICE XA (HPE SGI 8600), IP139-SXM2",HPE SGI 8600,Omnipath,Intel Omni-Path,Asia,"47,912",179093
