,User Name,Organization,Organization Type,Organization Country,Is Active,CPU Compute Allocation,CPU Node Hours Charged,GPU Compute Allocation,GPU Node Hours Charged,PI Name,Project Description,Department,Organization City
21,u3173,Rensselaer Polytechnic Institute,UNIV,United States of America,True,40000.0,0.0,43000.0,0.0,Shengbai Zhang,First-principles modeling of defects and materials properties for energy pplications,Physics,Troy
22,sqshu,Lawrence Berkeley National Laboratory - Joint Genome Institute (JGI),DOELAB,United States of America,True,2807.5,479.6197222222222,10000.0,0.0,Kjiersten Fagnan,Joint Genome Institute - Production Sequencing and Genomics,Phytozome and Plant Comparative Analysis Group,Walnut Creek
23,u4115,Princeton Plasma Physics Laboratory (PPPL),DOELAB,United States of America,True,21000.0,0.0,11850.0,0.0,Paul Bonoli,Center for Integrated Simulation of Fusion Relevant RF Actuators: SciDAC Project,Theory,Princeton
24,u4602,Tech-X Corporation,SMBUS,United States of America,True,21750.0,0.0,12787.5,0.0,Paul Bonoli,Center for Integrated Simulation of Fusion Relevant RF Actuators: SciDAC Project,Fusion Group,Boulder
25,piotr,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,15.0,0.0,0.0,0.0,Piotr Zyla,Particle Data Group,Physics,Berkeley
26,u5164,NASA Goddard Institute for Space Studies,OTHGOVLB,United States of America,True,600.0,0.0,75.0,0.0,Andrew Lacis,Theoretical Calculation of Water Vapor Continuum Absorption,NASA Goddard Space Flight Center,New York
27,akim,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,5995.593611111111,0.0133333333333333,5525.710555555555,0.1322222222222222,Alex Kim,Efficient likelihood calculations for cosmology analysis,Physics,Berkeley
28,u5334,Columbia University,UNIV,United States of America,True,600.0,0.0,75.0,0.0,Andrew Lacis,Theoretical Calculation of Water Vapor Continuum Absorption,Applied Physics and Applied Mathematics,New York
29,u5518,North Carolina State University,UNIV,United States of America,True,75000.78944444444,2.0966666666666667,100.0,0.0,Chueng-Ryong Ji,Quantum Chromodynamic Analysis of Hadron Structure and Application to Cosmology,Physics,Raleigh
30,jacobs,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,41000.0,0.0,100.0,0.0,Irakli Chakaberia,STAR Detector Simulations and Data Analysis,Nuclear Science Division,Berkeley
31,jason,Lawrence Berkeley National Laboratory - NERSC,NERSCOPS,United States of America,True,57500.0,0.2983333333333333,1150075.0,2.3583333333333334,Sudip Dosanjh,NERSC Staff Accounts,NERSC,Berkeley
32,odyniec,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,8200.0,0.0,100.0,0.0,Irakli Chakaberia,STAR Detector Simulations and Data Analysis,Nuclear Science Division,Berkeley
33,scott,Lawrence Berkeley National Laboratory - Joint Genome Institute (JGI),DOELAB,United States of America,True,2807.5,0.5783333333333334,10000.0,0.0,Kjiersten Fagnan,Joint Genome Institute - Production Sequencing and Genomics,Joint Genome Institute,Walnut Creek
34,u6003,Lodestar Research Corporation,SMBUS,United States of America,True,9150.0,0.0,11925.0,0.0,James Myra,"Edge, SOL and Divertor Modeling",,Boulder
35,u6336,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,8736.683916666667,4.102777777777778,12662.670833333334,2.033888888888889,Daniel Martin,High Performance Software and Algorithms for Applied Partial Differential Equations,CRD,Berkeley
36,u6338,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,15201.0,0.0,107852.2363888889,985.5455555555556,David Trebotich,Advanced Simulation of Pore Scale Flow and Transport Processes in Nanoporous Materials,Applied Math/CRD,Berkeley
37,u6346,University of California Los Angeles (UCLA),UNIV,United States of America,True,15000.0,0.0,12000.0,0.0,,,,Los Angeles
38,u6432,General Atomics,INDUSTRY,United States of America,True,6000.0,0.0,20011.373888888887,0.0,Gary Staebler,Simulation of Magnetically Confined Fusion Plasmas,mfe,San Diego
39,u6779,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,196186.8372222222,0.0,8825.0,0.0,Teresa Head-Gordon,C-GeM: A Reactive FF for Chemical Reactivity,CSD and PBD,Berkeley
40,u6792,Princeton Plasma Physics Laboratory (PPPL),DOELAB,United States of America,True,6000.0,0.0,10000.0,0.0,David Hatch,Gyrokinetic turbulence and transport: From basic understanding to truly predictive capability,Theory Department,Princeton
41,u6798,National Center for Atmospheric Research,OTHGOVLB,United States of America,True,250000.0,0.0,3750.0,0.0,Nan Rosenbloom,CATALYST Climate Variability and Prediction Studies ,,Boulder
42,saul,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,1500.0,0.0,2500.0,0.0,Saul Perlmutter,Optimal Photometric Reduction of Supernova Images for Cosmological Measurements,,Berkeley
43,crawford,University of California Berkeley - Space Sciences Laboratory,UNIV,United States of America,True,10.0,0.0,375.0,0.0,Eleanor Judd,Extreme Universe Space Observatory,NSD,Berkeley
44,u7381,University of California Berkeley,UNIV,United States of America,True,5400.0,0.0,7200.0,0.0,Mark Asta,Damage-Tolerance in Structural Materials,,Berkeley
45,sewilson,Lawrence Berkeley National Laboratory - Joint Genome Institute (JGI),DOELAB,United States of America,True,280000.0,0.0,10000.0,0.0,Kjiersten Fagnan,Joint Genome Institute - Production Sequencing and Genomics,Biosciences - Joint Genome Institute,Walnut Creek
46,deba,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,450.0,0.0,300.0,0.0,Shreyas Cholia,ESS DIVE ,DST/CRD,Berkeley
47,dehays,Lawrence Berkeley National Laboratory - Joint Genome Institute (JGI),DOELAB,United States of America,True,281200.0,0.0,10150.391111111112,0.0,Kjiersten Fagnan,Joint Genome Institute - Production Sequencing and Genomics,Data Science and Informatics,Walnut Creek
48,asim,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,43787.2,1.093611111111111,13175.0,0.0,Kesheng Wu,Scientific Data Management Research,Computational Research,Berkeley
49,matis,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,8200.0,0.0,100.0,0.0,Irakli Chakaberia,STAR Detector Simulations and Data Analysis,Nuclear Science,Berkeley
50,u9563,Lawrence Livermore National Laboratory,DOELAB,United States of America,True,176.89161111111113,0.0630555555555555,75.0,0.0,Erica Woodburn,Advancing post-wildfire hydrologic response research and recovery efforts with rapid measurements and model developments following the Caldor Fire,Comp/ASQ,Livermore
51,najm,Sandia National Laboratories - California,DOELAB,United States of America,True,375.32,0.0,234.0,0.0,Blas Uberuaga,FUTURE: Fundamental Understanding of Transport Under Reactor Extremes,Reacting Flow Research,Livermore
52,bsy,Lawrence Berkeley National Laboratory - NERSC,NERSCOPS,United States of America,True,2800.0,0.0,10000.0,0.0,,,NERSC/ISG,Berkeley
53,dorr,Lawrence Livermore National Laboratory,DOELAB,United States of America,True,2000.0,0.0,2500.0,0.0,Jin Myung Park,AToM-2 SciDAC - Advanced Tokamak Modeling Environment,,Livermore
54,toussain,The University of Arizona,UNIV,United States of America,True,300000.0,0.0,319999.58805555553,0.0,Rajan Gupta,Lattice QCD search for physics beyond the standard model,Physics,Tucson
55,u10198,University of Colorado at Boulder,UNIV,United States of America,True,21550.0,211.95138888888889,17050.0,7995.480277777778,Yang Chen,"Kinetic simulation of plasma microturbulence, kinetic MHD phenomena and magnetic reconnection",Physics,Boulder
56,u10404,DOE Office of Science - Germantown,DOELAB,United States of America,True,0.0,0.0,500.0,0.0,Sudip Dosanjh,NERSC Center Guest Accounts,DOE CSGB,Germantown
57,u10550,Simon Fraser University,UNIV,Canada,True,18100.0,19167.92333333333,53.5,0.0,Kirk Peterson,Accurate theoretical predictions for systems of superheavy elements (SHE) ,Chemistry,Burnaby
58,sparker,University of Colorado at Boulder,UNIV,United States of America,True,14500.0,0.0,7500.0,0.0,Yang Chen,"Kinetic simulation of plasma microturbulence, kinetic MHD phenomena and magnetic reconnection",Physics,Boulder
59,grote,Lawrence Livermore National Laboratory,DOELAB,United States of America,True,2500.0,0.0,750.0,6.586388888888889,Maxim Umansky,LLNL MFE Supercomputing,PL&S,Livermore
60,eder,University of Hawaii,UNIV,United States of America,True,680.0,0.0,1351.7425,0.0,Alice Koniges,An Extensible HED Modeling Tool for Extreme Regimes,MHPCC,Honolulu
61,gvahala,College of William & Mary,UNIV,United States of America,True,20000.0,3696.7066666666665,1875.0,0.0,George Vahala,Unitary Quantum Lattice Algorithms for Maxwell Equations in Media,,Williamsburg
62,apra,Pacific Northwest National Laboratory (PNNL),DOELAB,United States of America,True,62951.81638888889,19406.824444444443,17233.4,9163.88361111111,Edoardo Apra,EMSL Molecular Science Software Capability Development,EMSL,Richland
63,bernhold,Oak Ridge National Laboratory,DOELAB,United States of America,True,2000.0,0.0,2500.0,0.0,Jin Myung Park,AToM-2 SciDAC - Advanced Tokamak Modeling Environment,Computer Science and Mathematics Division,Oak Ridge
64,spence,Iowa State University,UNIV,United States of America,True,50.0,0.1675,10.0,0.0,James Vary,Structure and Reactions of Hadrons and Nuclei; Non-perturbative Solutions of Strongly Interacting Particles and Nuclei,Department of Physics and Astronomy,Ames
65,u11013,General Atomics,INDUSTRY,United States of America,True,2000.0,0.0,2500.0,0.0,Jin Myung Park,AToM-2 SciDAC - Advanced Tokamak Modeling Environment,DIII-D Experimental Science,San Diego
66,baden,University of California San Diego,UNIV,United States of America,True,4200.0,4093.5452777777778,175.0,9.842777777777778,Paul Hargrove,Pagoda: UPC++ and GASNet-EX,CRD,La Jolla
67,ryne,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,28200.0,20980.243055555555,18937.06555555556,0.0,Robert Ryne,Frontiers in Accelerator Design: Advanced Modeling for Next-Generation BES Accelerators,ATAP Division,Berkeley
68,dimits,Lawrence Livermore National Laboratory,DOELAB,United States of America,True,42000.0,0.0,11850.0,0.0,Paul Bonoli,Center for Integrated Simulation of Fusion Relevant RF Actuators: SciDAC Project,Physical and Life Sciences/Fusion Energy Sciences Program,Livermore
69,ianh,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,70.0,0.0,20.003875,0.0,Zachary Marshall,Simulation and analysis  of ATLAS Physics,physics,Berkeley
70,porter,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,194000.0,0.0,0.0,0.0,Irakli Chakaberia,Data analysis and simulations for the ALICE experiment at the LHC,Nuclear Science Division,Berkeley
71,rcohen,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,0.0,0.0,0.0,0.0,Maxim Umansky,LLNL MFE Supercomputing,,Berkeley
72,demmel,University of California Berkeley,UNIV,United States of America,True,19000.0,0.0,5500.0,0.0,James Demmel,"Class Account for UCB CS267 / CS194  Applications of Parallel Computing""""","UC Berkeley, EECS Dept",Berkeley
73,rajan,Los Alamos National Laboratory,DOELAB,United States of America,True,355000.0,8240.896111111111,359999.58805555553,0.0,Rajan Gupta,Lattice QCD search for physics beyond the standard model,Theoretical Division,Los Alamos
74,rognlien,Lawrence Livermore National Laboratory,DOELAB,United States of America,True,45750.0,0.0,13725.0,0.0,Maxim Umansky,LLNL MFE Supercomputing,Fusion Energy Sciences Program,Livermore
75,staebler,General Atomics,INDUSTRY,United States of America,True,15400.0,0.8633333333333333,5500.0,0.0,Gary Staebler,Simulation of Magnetically Confined Fusion Plasmas,Theory and Comutational Science,San Diego
76,u11812,University of Delaware,UNIV,United States of America,True,1965.0,0.0055555555555555,2650.1022222222223,0.0,Michael Shay,Kinetic Physics of Magnetic Reconnection and Turbulence,Department of Physics and Astronomy,Newark
77,carl,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,4000.0,0.0,5000.0,0.0,Carlo Benedetti,Simulation of laser-plasma particle accelerators,ATAP,Berkeley
78,xu,Lawrence Livermore National Laboratory,DOELAB,United States of America,True,117630.0,0.0,23125.0,0.0,Xueqiao Xu,AI/ML for Tokamak Divertor-Plasma Detachment Control,PLS/Physics,Livermore
79,ligocki,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,16351.0,9044.816111111111,101518.22986111112,0.0,David Trebotich,Advanced Simulation of Pore Scale Flow and Transport Processes in Nanoporous Materials,CRD,Berkeley
80,bagwell,Lawrence Berkeley National Laboratory - NERSC,NERSCOPS,United States of America,True,1450.0,0.0,1155200.0,0.0,Test Pi,Test project for AY 2023,Scientific Computing/NERSC,Berkeley
81,eheld,Utah State University,UNIV,United States of America,True,9935.0,217.9338888888889,28293.94241666667,0.0,Eric Held,Application of Kinetic Closures in NIMROD for Fusion Plasma Simulations,Physics Department,Logan
82,skruger,Tech-X Corporation,SMBUS,United States of America,True,40560.0,0.0,16965.222222222223,0.0,Jacob King,NIMROD Project: Extended Magnetohydrodynamic Modeling for Fusion Experiments,Fusion Group,Boulder
83,iratnere,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,280000.0,0.0,10000.0,0.0,Kjiersten Fagnan,Joint Genome Institute - Production Sequencing and Genomics,JGI,Berkeley
84,ajaffe,"Imperial College London, South Kensington campus",UNIV,United Kingdom of Great Britain and Northern Ireland,True,0.0,0.0,0.0,0.0,Julian Borrill,Cosmic Microwave Background Data Analysis Towards CMB-S4,Physics,London
85,xiaoye,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,23000.0,77.48638888888888,3279.8019444444444,3.708055555555556,Xiaoye (Sherry) Li,ECPUSRPRG-7,Applied Math,Berkeley
86,mwehner,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,1942.0,0.0,150.0,0.0,Michael Wehner,Advancing extreme value analysis,CRD,Berkeley
87,akoniges,Lawrence Berkeley National Laboratory - NERSC,NERSCOPS,United States of America,True,6800.0,0.0,1351.7425,0.0,Alice Koniges,An Extensible HED Modeling Tool for Extreme Regimes,NERSC,Berkeley
88,pmaris,Iowa State University,UNIV,United States of America,True,21900.0,6365.491944444444,19700.0,1900.016388888889,James Vary,Structure and Reactions of Hadrons and Nuclei; Non-perturbative Solutions of Strongly Interacting Particles and Nuclei,Dept. of Physics and Astronomy,Ames
89,mhg,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,22387.0,0.0,12636.0,0.0,Martin Head-Gordon,Electronic structure calculations and simulations of chemical and biological systems,Chemical Sciences Division,Berkeley
90,louyang,Tennessee State University,UNIV,United States of America,True,5670.54,0.0,0.0,0.0,,,,Nashville
91,ktaylor,Lawrence Berkeley National Laboratory - Joint Genome Institute (JGI),DOELAB,United States of America,True,2800.0,0.0,10000.0,0.0,Kjiersten Fagnan,Joint Genome Institute - Production Sequencing and Genomics,JGI DSI,Walnut Creek
92,bmesser,Oak Ridge National Laboratory,DOELAB,United States of America,True,12500.0,0.0,7500.084166666667,0.0,William Raphael Hix,Developing an Understanding of Core-Collapse and Electron Capture Supernova Explosion Systematics using 2D CHIMERA models,OLCF,Oak Ridge
93,jlvay,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,8210.0,0.0,9600.0,0.0,Carlo Benedetti,Simulation of laser-plasma particle accelerators,ATAP,Berkeley
94,haobin,University of Colorado at Denver,UNIV,United States of America,True,375.0,0.0,0.0,0.0,Haobin Wang,Quantum Dynamical Study of Charge and Energy Transfer Processes in the Condensed Phase,Chemistry,Denver
95,pstoltz,Zap Energy Inc.,INDUSTRY,United States of America,True,8125.0,0.0,1250.0,0.0,Eric Meier,Zap Energy Inc.,Tech-X,Seattle
96,vrk,Argonne National Laboratory,DOELAB,United States of America,True,2625.773333333333,0.0,3825.0,0.0,V. Rao Kotamarthi,"High-Spatial Resolution Models of Atmospheric Chemistry, Aerosols for Regional Scale Climate        ",Environmental Science Division,Argonne
97,yelick,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,10025.41613888889,0.0,11125.0,0.0,James Demmel,"Class Account for UCB CS267 / CS194  Applications of Parallel Computing""""",Computing Sciences Area,Berkeley
98,tcraig,Pacific Northwest National Laboratory (PNNL),DOELAB,United States of America,True,10200.0,3.3316666666666666,175.0,0.0,Lai-Yung Ruby Leung,Energy Exascale Earth System Modeling (E3SM),Oceanography,Richland
99,wes,San Francisco State University,UNIV,United States of America,True,2564.846,1.2036111111111112,700.0,2.413611111111111,Edward (Wes) Bethel,SFSU HPC Educational Allocation,CRD,San Francisco
100,celster,Ohio University,UNIV,United States of America,True,2000.0,0.0,75.0,0.0,Charlotte Elster,Ab initio calculations of nuclear reactions with few- and many-body systems,Physics and Astronomy,Athens
101,ragerber,Lawrence Berkeley National Laboratory - NERSC,NERSCOPS,United States of America,True,84600.0,0.0,1161600.0,0.0,Sudip Dosanjh,NERSC Staff Accounts,NERSC,Berkeley
102,nugent,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,38865.691666666666,0.0,11780.389444444443,0.0,Peter Nugent,ExaLearn,Computational Science/ Computational Research,Berkeley
103,habib,Argonne National Laboratory,DOELAB,United States of America,True,10855.148611111112,0.0,50887.59677777778,0.0,Salman Habib,Cosmological Hydrodynamic Simulations with CRK-HACC,HEP and MCS DIvisions,Argonne
104,dks,Argonne National Laboratory,DOELAB,United States of America,True,3750.0,0.0,75.0,0.0,Donald Sinclair,Lattice Gauge Theory Simulations,HEP Division,Argonne
105,likin,University of Wisconsin - Madison,UNIV,United States of America,True,60.0,0.0,75.0,0.0,Carl Sovinec,Fluid and Hybrid Modeling of Electromagnetic Activity in MFE Plasmas,Electrical and Computer Engineering,Madison
106,friedman,Lawrence Livermore National Laboratory,DOELAB,United States of America,True,500.0,0.0,500.0,0.0,Maxim Umansky,Magnetic Fusion Plasma Microturbulence Project,Physics,Livermore
107,lzheng,University of Texas at Austin,UNIV,United States of America,True,8000.0,0.0,12500.0,0.0,Jin Myung Park,AToM-2 SciDAC - Advanced Tokamak Modeling Environment,Institute for Fusion Studies,Austin
108,zlin,University of California Irvine,UNIV,United States of America,True,6000.0,0.0,8562.009777777777,0.0,Zhihong Lin,SciDAC ISEP: Integrated Simulation of Energetic Particle Turbulence and Transport,Department of Physics and Astronomy,Irvine
109,bdorland,University of Maryland,UNIV,United States of America,True,50000.0,0.0,2500.0,0.0,William Dorland,"Turbulence, Transport and Magnetic Reconnection in High Temperature Plasma",Physics,College Park
110,crivelli,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,2252.021944444444,0.0,2250.0,0.0,Silvia Crivelli,WeFold: A collaborative effort for protein structure prediction and machine learning,Computational Research Division,Berkeley
111,kurennoy,Los Alamos National Laboratory,DOELAB,United States of America,True,150.0,0.0,3.75,0.0,Cho-Kuen Ng,Advanced Modeling for Particle Accelerators,,Los Alamos
112,cho,SLAC National Accelerator Laboratory,DOELAB,United States of America,True,21500.0,2.351111111111111,18906.865,0.5452777777777778,Cho-Kuen Ng,Advanced Modeling for Particle Accelerators,Computational Electrodynamics Department,Menlo Park
113,zli,SLAC National Accelerator Laboratory,DOELAB,United States of America,True,10900.0,774.4708333333333,18906.865,0.0,Robert Ryne,Frontiers in Accelerator Design: Advanced Modeling for Next-Generation BES Accelerators,Computational Electromagnetics/TID,Menlo Park
114,wangcz,Ames Laboratory Iowa State University,DOELAB,United States of America,True,34000.0,0.0,75.0,0.0,Cai-Zhuang Wang,Computational Prediction and Discovery of Novel Materials for Energy Applications,Materials Science and Engineering,Ames
115,taylorm,Sandia National Laboratories - New Mexico,DOELAB,United States of America,True,10200.0,0.9183333333333332,188859.52194444445,0.0,Mark Taylor,Cloud-resolving Climate Modeling of the Earth's Water Cycle,Multiphysics,Albuquerque
116,masha,Old Dominion University,UNIV,United States of America,True,3000.0,0.0,3585.0,0.0,Masha Sosonkina,"Developing AI Models to Predict Execution Performance of Exascale Software for Heterogeneous and Interfacial Catalysis
",Modeling & Simulation,Norfolk
117,umansky,Lawrence Livermore National Laboratory,DOELAB,United States of America,True,46800.0,6.227222222222222,24350.0,0.0,Maxim Umansky,LLNL MFE Supercomputing,Physics,Livermore
118,liu,University of Kentucky,UNIV,United States of America,True,195000.0,0.0,116000.0,0.0,Keh-Fei Liu,Lattice QCD Monte Carlo Calculation of Hadronic Structure and Spectroscopy,Physics and Astronomy,Lexington
119,leonard,University of Texas at Austin,UNIV,United States of America,True,600.0,107.99638888888887,1000.0,0.0,David Hatch,Gyrokinetic turbulence and transport: From basic understanding to truly predictive capability,Physics,Austin
120,super124,University of Kentucky,UNIV,United States of America,True,1950.0,0.0,1160.0,0.0,Keh-Fei Liu,Lattice QCD Monte Carlo Calculation of Hadronic Structure and Spectroscopy,,Lexington
121,osni,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,4950.0,0.0,1779.8019444444444,0.0,James Demmel,Linear Algebra Algorithms on High Performance Computers,CRD,Berkeley
122,ebelova,Princeton Plasma Physics Laboratory (PPPL),DOELAB,United States of America,True,4918.3452777777775,154.8733333333333,450.0,0.0,Elena Belova,Simulation Studies of NSTX-U and Compact Toroid Stability,Theory Department,Princeton
123,kmdw,Lawrence Berkeley National Laboratory - Joint Genome Institute (JGI),DOELAB,United States of America,True,0.0,0.0,0.0,0.0,,,Production,Walnut Creek
124,waltz,General Atomics,INDUSTRY,United States of America,True,12500.0,1770.5605555555555,11781.004888888889,0.0,Gary Staebler,Simulation of Magnetically Confined Fusion Plasmas,,San Diego
125,yoram,Yale University,UNIV,United States of America,True,35200.0,0.0,75.0,0.0,Yoram Alhassid,Many-Body Studies of Nuclei and Cold Atoms,Physics,New Haven
126,canning,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,3750.058333333333,0.0,2625.2077777777777,0.7263888888888889,Andrew Canning,N9ES-ECP 2.2.6.04 CoPA/FFTX,CRD,Berkeley
127,mczane,Lawrence Berkeley National Laboratory - Joint Genome Institute (JGI),DOELAB,United States of America,True,28000.0,0.0,10000.0,0.0,Kjiersten Fagnan,Joint Genome Institute - Production Sequencing and Genomics,JG/TC,Walnut Creek
128,batista,Yale University,UNIV,United States of America,True,1435.0,0.0,7512.241666666667,0.0,Victor Batista,QM/MM Studies of High-Valent Manganese Complexes,Chemistry,New Haven
129,fxlee,George Washington University,UNIV,United States of America,True,10477.435833333331,177.9636111111111,12460.0,0.0,Frank Lee,Nuclear  Physics Calculations from Lattice Quantum Chromodynamics,Physics,Washington
130,ilya,RadiaSoft LLC,SMBUS,United States of America,True,1500.2613888888889,0.0,75.0,0.0,Ilya Pogorelov,Parallel Simulations of X-ray Beamlines,,Boulder
131,strandwg,National Center for Atmospheric Research,OTHGOVLB,United States of America,True,519718.0,1072.5852777777775,4025.0,0.0,Nan Rosenbloom,CATALYST Climate Variability and Prediction Studies ,NCAR,Boulder
132,cholland,University of California San Diego,UNIV,United States of America,True,111530.0,6.101944444444444,80125.0,34698.46722222222,Jin Myung Park,AToM-2 SciDAC - Advanced Tokamak Modeling Environment,Center for Energy Research,La Jolla
133,dbest,Lawrence Berkeley National Laboratory - Joint Genome Institute (JGI),DOELAB,United States of America,True,14000.0,0.0,10000.0,0.0,Kjiersten Fagnan,JGI gentech-prod.p share,,Walnut Creek
134,pingzhu,University of Wisconsin - Madison,UNIV,United States of America,True,2300.0,279.24444444444447,175.0,0.0,Ping Zhu,MHD and PIC simulations of Earth's magnetotail plasma processes,Engineering Physics,Madison
135,johnd,National Center for Atmospheric Research,OTHGOVLB,United States of America,True,125000.0,0.0,3750.0,0.0,Nan Rosenbloom,CATALYST Climate Variability and Prediction Studies ,Computer and Information Systems Laboratory,Boulder
